245201,Hapur,yes
245207,Hapur,yes
245304,Hapur,yes
246127,Kotdwara,yes
246149,Kotdwara,yes
246174,Srinagar-UK,yes
246429,Karnaprayag,yes
246444,Karnaprayag,yes
246446,Karnaprayag,yes
246455,Karnaprayag,yes
246701,Bijnor,yes
246721,Bijnor,yes
246723,Bijnor,yes
246725,Bijnor,yes
246726,Bijnor,yes
246728,Bijnor,yes
246729,Bijnor,yes
246731,Bijnor,yes
246732,Bijnor,yes
246733,Bijnor,yes
246764,Bijnor,yes
247001,Saharanpur,yes
247002,Saharanpur,yes
247122,Saharanpur,yes
247232,Saharanpur,yes
247451,Saharanpur,yes
247665,Roorkee,yes
247670,Roorkee,yes
247771,Shamli,yes
247772,Shamli,yes
247773,Shamli,yes
247774,Shamli,yes
247775,Shamli,yes
247776,Shamli,yes
247777,Shamli,yes
247778,Shamli,yes
248140,Rishikesh,yes
248145,Rishikesh,yes
248198,Dehradun,yes
249306,Rishikesh,yes
250106,Meerut,yes
250344,Meerut,yes
250406,Meerut,yes
250502,Meerut,yes
250601,Baghpat,yes
250606,Baghpat,yes
250609,Baghpat,yes
250611,Baraut,yes
250617,Baraut,yes
250619,Baraut,yes
250621,Baraut,yes
250622,Baraut,yes
250623,Baraut,yes
250625,Baraut,yes
250626,Modinagar,yes
251001,Muzaffarnagar,yes
251002,Muzaffarnagar,yes
251003,Muzaffarnagar,yes
251201,Khatauli,yes
251202,Muzaffarnagar,yes
251203,Khatauli,yes
251301,Shamli,yes
251305,Shamli,yes
251306,Muzaffarnagar,yes
251307,Muzaffarnagar,yes
251311,Muzaffarnagar,yes
251314,Khatauli,yes
251318,Muzaffarnagar,yes
251319,Shamli,yes
261001,Sitapur,yes
261125,Sitapur,yes
261131,Sitapur,yes
261404,Sitapur,yes
261501,Lakhimpur,yes
262001,Pilibhit,yes
262402,Haldwani,yes
262501,Pithoragarh,yes
262502,Pithoragarh,yes
262520,Pithoragarh,yes
262521,Pithoragarh,yes
262530,Pithoragarh,yes
262701,Lakhimpur,yes
262702,Lakhimpur,yes
262721,Lakhimpur,yes
262725,Lakhimpur,yes
263001,Nainital,yes
263002,Nainital,yes
263126,Haldwani,yes
263127,Nainital,yes
263128,Nainital,yes
263139,Haldwani,yes
263149,Rudrapur,yes
263150,Rudrapur,yes
263156,Nainital,yes
263159,Ramnagar,yes
263160,Rudrapur,yes
263601,Almora,yes
263620,Almora,yes
263643,Almora,yes
263645,Ranikhet,yes
263651,Ranikhet,yes
263652,Ranikhet,yes
263663,Ranikhet,yes
271001,Gonda,yes
271002,Gonda,yes
271003,Gonda,yes
271122,Gonda,yes
271123,Gonda,yes
271124,Gonda,yes
271125,Gonda,yes
271126,Gonda,yes
271129,Gonda,yes
271202,Gonda,yes
271301,Gonda,yes
271310,Gonda,yes
271401,Gonda,yes
271502,Gonda,yes
271503,Gonda,yes
271601,Gonda,yes
271602,Gonda,yes
271603,Gonda,yes
271801,Bahraich,yes
271825,Bahraich,yes
271870,Bahraich,yes
271871,Bahraich,yes
271872,Bahraich,yes
271875,Bahraich,yes
